1987,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.26,0,1.34,0.62,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0, 
1987,2,28,0.18,0,0.06,0,0.48,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.19,0.56,0,0,0,0.42,1.19,1.48,0.01,0,0,0,0, 
1987,3,31,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0.08,0,0,0,0,0,0.12,0,0,0,0,0.05,0,0,0, 
1987,4,30,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1987,5,31,0,0,0,0.01,0,0.3,0,0,0.47,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,1.38,0,0.15, 
1987,6,30,0.3,0,0.36,0.29,0.06,0,0.15,0.95,1.81,0.01,1.43,0,0,0.07,0,0,0,0.02,0,0,0,0,0,0,0,0.45,0,0,0,2.01,0, 
1987,7,31,0,0,0,0,0,0,0,0.74,0.67,0.01,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0.45,0,0.2,0.35,0.02,0,0,0, 
1987,8,31,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.37,2.58,0.01, 
1987,9,30,0.14,0,0,0,0,0,0,0.01,0,0,0.18,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0.44,0,0,0, 
1987,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3.85,0,0,0,0,0,0,0,0, 
1987,11,30,0,0,0,0,0,0,0,0,0.76,0,0,0,0.03,0,0.05,0.68,0,0,0,0,0,0,0,0,2.51,0,0.2,0,0,0,0, 
1987,12,31,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.02,0.11,0.03,0.14,0,0,0.01,0,0.11,0.03,0,0,0,0, 
1988,1,31,0.07,0.3,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.38,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1988,2,29,0,0,0,0.22,0.49,0.03,0.13,0,0.31,0.01,0,0,0,0.03,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1988,3,31,0,0.22,0.04,0,0,0,0,0.12,0,0,0,0,0,0,0,0.17,0,0.5,0,0,0,0,0,0,0,0,0,0,0.09,0.1,0.08, 
