2012-12,3.3
2013-01,1.88
2013-02,1.97
2013-03,4.23
2013-04,3.34
2013-05,4.1
2013-06,6.33
2013-07,6.74
2013-08,4.79
2013-09,4.32
2013-10,3.71
2013-11,2.5
2013-12,1.49
2014-01,2.07
2014-02,1.77
2014-03,2.38
2014-04,4.08
2014-05,3.89
2014-06,4.72
2014-07,5.3
2014-08,6.24
2014-09,3.69
2014-10,4.01
2014-11,2.58
2014-12,1.79
2015-01,1.86
2015-02,1.94
2015-03,1.98
2015-04,2.81
2015-05,4.15
2015-06,5.66
2015-07,6.33
2015-08,6.33
2015-09,5.46
2015-10,4.02
2015-11,2.31
2015-12,1.72
2016-01,2.02
2016-02,2.83
2016-03,2.8
2016-04,3.63
2016-05,4.36
2016-06,5.49
2016-07,6.52
2016-08,5.42
2016-09,5.14
2016-10,4.18
2016-11,2.32
2016-12,1.55
2017-01,2.71
2017-02,2.47
2017-03,3.44
2017-04,4.27
2017-05,4.35
2017-06,5.41
2017-07,6.58
2017-08,4.31
2017-09,4.7
2017-10,3.39
2017-11,2.39
2017-12,1.47
2018-01,1.9
2018-02,1.78
2018-03,3.42
2018-04,4.05
2018-05,5.41
2018-06,6.05
2018-07,6.16
2018-08,6.74
2018-09,2.66
2018-10,3.18
2018-11,2.01
2018-12,2.36
